user_name,week_number,game_number,squiggle_game_key,home_team,away_team,winning_team,selected_team,is_correct,source_tab
Stephen,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,Western Bulldogs,1,Round 1
Stephen,1,7,017,Adelaide,St Kilda,Adelaide,Adelaide,1,Round 1
Stephen,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Greater Western Sydney,1,Round 1
Stephen,1,9,019,West Coast,Gold Coast,Gold Coast,Gold Coast,1,Round 1
Pop,2,1,021,Carlton,Hawthorn,Hawthorn,Hawthorn,1,Round 2
Pop,2,2,022,Western Bulldogs,Collingwood,Collingwood,Collingwood,1,Round 2
Pop,2,3,023,Essendon,Adelaide,Adelaide,Essendon,0,Round 2
Pop,2,4,024,Port Adelaide,Richmond,Port Adelaide,Port Adelaide,1,Round 2
Pop,2,5,025,St Kilda,Geelong,St Kilda,Geelong,0,Round 2
Pop,2,6,026,Brisbane Lions,West Coast,Brisbane Lions,Brisbane Lions,1,Round 2
Pop,2,7,027,North Melbourne,Melbourne,North Melbourne,Melbourne,0,Round 2
Pop,2,8,028,Fremantle,Sydney,Sydney,Fremantle,0,Round 2
Katie,2,1,021,Carlton,Hawthorn,Hawthorn,Carlton,0,Round 2
Katie,2,2,022,Western Bulldogs,Collingwood,Collingwood,Western Bulldogs,0,Round 2
Katie,2,3,023,Essendon,Adelaide,Adelaide,Essendon,0,Round 2
Katie,2,4,024,Port Adelaide,Richmond,Port Adelaide,Richmond,0,Round 2
Katie,2,5,025,St Kilda,Geelong,St Kilda,Geelong,0,Round 2
Katie,2,6,026,Brisbane Lions,West Coast,Brisbane Lions,Brisbane Lions,1,Round 2
Katie,2,7,027,North Melbourne,Melbourne,North Melbourne,North Melbourne,1,Round 2
Katie,2,8,028,Fremantle,Sydney,Sydney,Sydney,1,Round 2
David,2,1,021,Carlton,Hawthorn,Hawthorn,Hawthorn,1,Round 2
David,2,2,022,Western Bulldogs,Collingwood,Collingwood,Collingwood,1,Round 2
David,2,3,023,Essendon,Adelaide,Adelaide,Essendon,0,Round 2
David,2,4,024,Port Adelaide,Richmond,Port Adelaide,Port Adelaide,1,Round 2
David,2,5,025,St Kilda,Geelong,St Kilda,Geelong,0,Round 2
David,2,6,026,Brisbane Lions,West Coast,Brisbane Lions,Brisbane Lions,1,Round 2
David,2,7,027,North Melbourne,Melbourne,North Melbourne,Melbourne,0,Round 2
David,2,8,028,Fremantle,Sydney,Sydney,Fremantle,0,Round 2
Chris,2,1,021,Carlton,Hawthorn,Hawthorn,Hawthorn,1,Round 2
Chris,2,2,022,Western Bulldogs,Collingwood,Collingwood,Collingwood,1,Round 2
Chris,2,3,023,Essendon,Adelaide,Adelaide,Essendon,0,Round 2
Chris,2,4,024,Port Adelaide,Richmond,Port Adelaide,Port Adelaide,1,Round 2
Chris,2,5,025,St Kilda,Geelong,St Kilda,Geelong,0,Round 2
Chris,2,6,026,Brisbane Lions,West Coast,Brisbane Lions,Brisbane Lions,1,Round 2
Chris,2,7,027,North Melbourne,Melbourne,North Melbourne,Melbourne,0,Round 2
Chris,2,8,028,Fremantle,Sydney,Sydney,Fremantle,0,Round 2
Jamie,2,1,021,Carlton,Hawthorn,Hawthorn,Hawthorn,1,Round 2
Jamie,2,2,022,Western Bulldogs,Collingwood,Collingwood,Collingwood,1,Round 2
